Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day
1,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,5,2
1,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,12,2
1,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,19
1,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,26
1,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,5,3
1,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,12,3
1,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,19
1,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,26
1,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,2,4
1,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,9,4
1,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,16
1,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,23
1,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,30
1,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,7,5
1,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,14
1,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,21
1,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,28
1,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,4,6
1,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,11,6
1,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,18
1,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25
1,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,2,7
1,1546074.18,0,80.48,2.642,211.108414,7.787,2010,9,7
1,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,16
1,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,23
1,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30
1,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,6,8
1,1508237.76,0,87,2.692,211.6394211,7.787,2010,8,13
1,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,20
1,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,27
1,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,3,9
1,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,10,9
1,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,9,17
1,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,9,24
1,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,1,10
1,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,8,10
1,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,10,15
1,1345454,0,69.86,2.725,211.8612937,7.838,2010,10,22
1,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,10,29
1,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,5,11
1,1494479.49,0,59.61,2.728,212.003944,7.838,2010,12,11
1,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,11,19
1,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,11,26
1,1548033.78,0,49.27,2.708,211.607193,7.838,2010,3,12
1,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,10,12
1,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,12,17
1,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,12,24
1,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,12,31
1,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,7,1
1,1391013.96,0,35.4,2.983,211.4574109,7.742,2011,1,14
1,1327405.42,0,44.04,3.016,211.8272343,7.742,2011,1,21
